# Angle,y_shift, x_shift, scanNo
36.0,5.0,-33.0,1724.0
36.5,5.0,-36.0,1725.0
37.0,3.0,-34.0,1726.0
37.5,3.0,-29.0,1727.0
38.0,2.0,-24.0,1728.0
38.5,1.0,-18.0,1729.0
39.0,-1.0,-18.0,1730.0
39.5,-0.0,-11.0,1731.0
40.0,3.0,-14.0,1732.0
40.5,8.0,-16.0,1733.0
41.0,6.0,-16.0,1734.0
41.5,5.0,-6.0,1735.0
42.0,7.0,-11.0,1736.0
42.5,8.0,-9.0,1737.0
43.0,7.0,-9.0,1738.0
43.5,9.0,-8.0,1739.0
44.0,8.0,-3.0,1740.0
44.5,10.0,-7.0,1741.0
45.0,9.0,-0.0,1742.0
45.5,10.0,7.0,1743.0
46.0,12.0,3.0,1744.0
46.5,15.0,-4.0,1745.0
47.0,17.0,-4.0,1746.0
47.5,18.0,-12.0,1747.0
48.0,19.0,-19.0,1748.0
48.5,22.0,-25.0,1749.0
49.0,24.0,-23.0,1750.0
49.5,24.0,-22.0,1751.0
50.0,26.0,-28.0,1752.0
50.5,27.0,-30.0,1753.0
51.0,26.0,-33.0,1754.0
51.5,25.0,-36.0,1755.0
52.0,27.0,-41.0,1756.0
52.5,29.0,-37.0,1757.0
53.0,28.0,-41.0,1758.0
53.5,30.0,-12.0,1759.0
54.0,33.0,-13.0,1760.0
54.5,33.0,-14.0,1761.0
55.0,31.0,-6.0,1762.0
55.5,30.0,-3.0,1763.0
56.0,30.0,-6.0,1764.0
56.5,33.0,-7.0,1765.0
57.0,33.0,-7.0,1766.0
57.5,34.0,-3.0,1767.0
58.0,36.0,-7.0,1768.0
58.5,35.0,2.0,1769.0
59.0,36.0,7.0,1770.0
59.5,40.0,-15.0,1771.0
-27.0,11.0,44.0,1773.0
-26.5,6.0,60.0,1774.0
-26.0,4.0,74.0,1775.0
-25.5,3.0,82.0,1776.0
-25.0,-1.0,90.0,1777.0
-24.5,-2.0,96.0,1778.0
-24.0,-2.0,103.0,1779.0
-23.5,-3.0,111.0,1780.0
-23.0,-4.0,112.0,1781.0
-22.5,-6.0,115.0,1782.0
-22.0,-9.0,124.0,1783.0
-21.5,-11.0,127.0,1784.0
-21.0,-12.0,124.0,1785.0
-20.5,-14.0,137.0,1786.0
-20.0,-16.0,135.0,1787.0
-19.5,-17.0,130.0,1788.0
-19.0,-18.0,136.0,1789.0
